      1000111001     268   5.1  A Family Affair (2001)
      0000000013      61   7.1  A Family Circus Christmas (1979) (TV)
      0001111000     127   5.9  A Family Divided (1995) (TV)
      1000011011      65   6.4  A Family Is a Family Is a Family: A Rosie O'Donnell Celebration (2010) (TV)
      1011100001     102   4.7  A Family Lost (2007) (TV)
      0000013100      85   6.6  A Family Portrait (2009)
      0000122101     432   6.2  A Family Thanksgiving (2010) (TV)
      0000012210    2653   6.9  A Family Thing (1996)
      0000112101     294   6.6  A Family Torn Apart (1993) (TV)
      1000000113     106   6.5  A Family Underground (2009)
      0000120101      85   6.6  A Family for Joe (1990) (TV)
      0101100001      82   5.3  A Family in Crisis: The Elian Gonzales Story (2000) (TV)
      0000122101    2750   6.6  A Far Off Place (1993)
      0000111002     152   6.5  A Fare to Remember (1999)
      0000122100    3448   6.6  A Farewell to Arms (1932)
      0000121000    1798   5.9  A Farewell to Arms (1957)
      0000211001     264   5.5  A Farewell to Fools (2013)
      2001110001      66   5.0  A Fatal Obsession (2015)
      0001111101     184   6.1  A Father for Brittany (1998) (TV)
      0000111212     255   7.3  A Father for Charlie (1995) (TV)
      0000121001     412   6.2  A Father's Choice (2000) (TV)
      5100000001     206   2.5  A Feast of Flesh (2007)
      0000001211     580   7.2  A Febre do Rato (2011)
      1000000005      51   7.6  A Federal Case (2008)
      0000122100     138   6.4  A Fever in the Blood (1961)
      0000121000    9936   5.7  A Few Best Men (2011)
      0000001204     789   8.6  Beyond Our Ken (2008)
      0000011103     136   5.8  Beyond Paradise (1998)
      0000011121     185   6.2  Beyond Paradise (2016)
      0000022100    4103   6.6  Beyond Rangoon (1995)
      0000121100    8658   5.9  Beyond Re-Animator (2003)
      0000011102      96   7.1  Beyond Titanic (1998) (TV)
      0000112100     798   6.7  Beyond Tomorrow (1940)
      0.00011114      56   8.2  Beyond Wiseguys: Italian Americans & the Movies (2008)
      0000111001     121   5.8  Beyond Witch Mountain (1982) (TV)
      0000012111    1491   7.2  Beyond the Forest (1949)
      0000001212     127   7.8  Beyond the Fringe (1964) (TV)
      0000122100     232   6.3  Beyond the Game (2008)
      0000001212     407   7.6  Beyond the Gates of Splendor (2002)
      1111010000     173   4.3  Beyond the Grave (2010)
      1000010101      52   5.8  Beyond the Heavens (2013)
      00111110.0      80   5.1  Beyond the Law (1968)
      0000122101    4733   6.6  Beyond the Law (1993)
      0000012101   10732   6.9  Beyond the Lights (2014)
      1000111001     902   4.8  Beyond the Limits (2003)
      0000121100     168   5.8  Beyond the Line of Duty (1942)
      0000110001    1631   5.0  Beyond the Mask (2015)
      0000002211    6635   7.6  Beyond the Mat (1999)
      1000000104      76   7.5  Beyond the Mat (2013)
      0000001212     204   7.7  Beyond the Mind's Eye (1992) (V)
      1011100000      51   4.5  Beyond the Moon (1956) (TV)
      0000000014     120   6.8  Beyond the Pale (2000)
      0000011111     228   6.9  Christmas with Tucker (2013) (TV)
      3000000001     750   4.8  Christmas with a Capital C (2011)
      1000001002      51   6.5  Christmas with the Dead (2012)
      0001111000   27225   5.2  Christmas with the Kranks (2004)
"      0000012101     395   6.5  Christmas, Again (2014)"
      1000011101     351   5.8  Christmas. Uncensored (2012)
      0000002201      72   7.1  Christo's Valley Curtain (1974)
      0000132100     301   6.2  Christopher Columbus (1949)
      0012210000    2258   4.4  Christopher Columbus: The Discovery (1992)
      0000122100     861   6.3  Christopher Strong (1933)
      0001111000     250   5.5  Eiga: Kurosagi (2008)
      0001221000     136   5.1  Eiga: minna! Esupâ da yo! (2015)
      0000023101      69   6.8  Eigenheimers (2006) (TV)
      0000121101    2582   6.3  Eight Days a Week (1997)
      0000111101     454   6.1  Eight Days to Live (2006) (TV)
